Number of clusters,Average distance (TSP),Max distance (TSP),Average distance (Antoine),Max distance (Antoine)
2,23.810000000000002,24.946,21.30815604380776,25.74622503324945
3,16.443666666666665,21.886,14.095648409636903,23.86443745585883
4,12.59475,21.886,10.356429391511087,23.86443745585883
5,11.630799999999999,16.078,7.806895045128462,13.295074580643071
6,11.1235,16.635,7.190196468310643,10.548612191844803
7,9.579571428571429,16.635,6.145368235191545,10.548612191844803
